#metadataBlock	dataverseAlias	displayName	name											
0		Artifact External Reference	0001_NASA_PDS_1.oais.Artifact_External_Reference											
#datasetField	name	title	description	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id
0	0001_NASA_PDS_1.oais.Artifact_External_Reference.oais.reference_type	reference_type	The reference_type attribute provides the name of the association.	text			TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		0001_NASA_PDS_1.oais.Artifact_External_Reference
1	0001_NASA_PDS_1.oais.Artifact_External_Reference.oais.reference_text	reference_text	The reference_text attribute provides a complete bibliographic citation for a published work.	text			TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		0001_NASA_PDS_1.oais.Artifact_External_Reference
#controlledVocabulary	0	1	2	3	4	5	6	7	8	9	10	11	12	13
0														
